url,handle,banner_img,profile_image,name,subscribers,videos_count,created_date,views,Description,Details,Links,identifier,discovery_input
"https://www.youtube.com/@pucs1466/about","@pucs1466","https://yt3.googleusercontent.com/Rhu_7nklppmoiURB-_bR0qT0UFfnVgbPJz_uJyYonQXKPr-0S1MpvjQ6ou_5Hkn5-uPDzN9tQA=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_mQErxE7lPb8snrIYnu_jvlEl-h5QXrZ08o9FO9-avqUjA=s160-c-k-c0x00ffffff-no-rj","Pucs",1150,17,"2016-12-30",42980,"","","","UCT3TFb-ItJbBTJM6sGsVL7Q","null"
"https://www.youtube.com/@jsc-world/about","@jsc-world","https://yt3.googleusercontent.com/bUsUj_h3opdoVjmN6EHfRbRwET47xYPjK9Q6zG9DrLKxL8s9-kt5qWwSpsu2gFNQWFwv7iK88A=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/1aWpND-SEyDlm-nnpAZinHvO_xjRtOt8Yh_FhKI-eCeNE84MTIIOt31p7Qfxzw3VkHxbZm31T9M=s176-c-k-c0x00ffffff-no-rj","JSC███rld███",85,216,"2023-07-31",18770,"","","","UCVbYYvGeXKXhBjFaXHzLFrA","null"
"https://www.youtube.com/@TeamRBOfficial/about","@TeamRBOfficial","https://yt3.googleusercontent.com/JSJ9MeRcwYxSHR9wf7g0-fKz78EsMj-wWY8xTQoEaR1LcqC9QZe0RLPuFj8dUmiFmxRDeGdeyw=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/IqO0NQAtzUTkoVpJ9bnIX9YpP3sGaCVGt4g5llzQITgOB_PVOl1lNxoHPLa28VjDgU4NGSS7=s160-c-k-c0x00ffffff-no-rj","Tea███B O███cia███",806,397,"2021-07-07",569399,"","","","UCUPPDWurmhJc4dEPAIpn9OA","null"
"https://www.youtube.com/@AlvinAquariumVlogs/about","@AlvinAquariumVlogs","https://yt3.googleusercontent.com/QrulfEgEa05JrDsJH7P2Yl2aWOaAGVkk2qk5XDBQUMr6i4hOgqc-Bxp5WA22KQQ_I9f1TNfO=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_nDA3pcZeOHSzzdHSo_PASs0dkCJSKwgiWGPP_YH2K4a9XT=s160-c-k-c0x00ffffff-no-rj","Alv███Joy███ntu███",1550,49,"2013-12-23",59527,"","","","UCD6zrwJuXnXXGuc1vXSCRtw","null"
"https://www.youtube.com/@A7med797/about","@A7med797","https://yt3.googleusercontent.com/7nrUSzuUO7TEs8g6XkKeJwEjF6x2r6M17b4vT6R5st0_Ky5giUa3W6CrAbsQMyT6myBFSzlNbXE=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/sfMq66LfI6QS9y-ZJir_1jr2wxScQi7alAlpd3LjNm0P1stKu6TS53ZX3Gql85l-UPB8zs5-=s176-c-k-c0x00ffffff-no-rj","A7m███797███",5720,13,"2014-05-24",10071,"","","","UCyG8ZKDTmtJEjHKfs68Zy6Q","null"
"https://www.youtube.com/@pacifictradingpost7972/about","@pacifictradingpost7972","https://yt3.googleusercontent.com/kqrW8rogt2tIPy9quHq9lSxDjED19rJAe2BU0eYyxNAxfIWvD1xfMvyg3VOREOn1ot2A134q7g=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_nZ2I8_EwZmmpm2MtYCvcAM7nOdnUEtMI4gWm2OJTq85g=s160-c-k-c0x00ffffff-no-rj","Pac███c T███ing██████",293,221,"2019-02-16",58085,"","","","UCFyAsRTxDXhONle_EHmlonA","null"
"https://www.youtube.com/@callvcal/about","@callvcal","https://yt3.googleusercontent.com/7pjiYL38IzZ78rE9zdnmvcb9fwYLkkR_6GjPIyRXXkpq1IRs9pHBngShx4Dgd04uDxWyboMuFQk=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/r0eMcuvV-oM5ew1brxpZi4U0QVmgJqWZUuC12_U8C-9Y4hvAaLduAA38LtD61TyOL5sNRJB6-LE=s176-c-k-c0x00ffffff-no-rj","cal███al",41,43,"2022-08-14",1122,"","","","UCBPpgxJgxL9fALgOeREVyww","null"
"https://www.youtube.com/@Taikofficial_/about","@Taikofficial_","https://yt3.googleusercontent.com/M8L7-bWTYl-fmGyw9-dJw1iHLTqhh54nZAvqSKZ61M9_rk_gTeeCA-dtW5fA3-tqDyWL73TCkg=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/6Em4dV6wgXpPW97LzRNgAtl4UmoJ3b0nUeip8v2cpFDcOu0cm8Gw10F06LEOrRO5WLaF5lxM=s176-c-k-c0x00ffffff-no-rj","TAİ███ürk███-AB█████████eyi███",171,62,"2015-06-25",20984,"","","","UCu1QZwBjSn1IWIsh-ON4dgA","null"
"https://www.youtube.com/@TransworldGroupOfCompanies/about","@TransworldGroupOfCompanies","https://yt3.googleusercontent.com/zNP14x954lNfDNMG69ACJ4PPOm3YcBw37NOPEpmEKq4zwnMkvbTgyeTFJ1K6p07XW8RsV08fGQ=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_lzoebODn-3mfPD0E4G-HcCsvhz5yG84gpdWhqML7G-ug=s160-c-k-c0x00ffffff-no-rj","Tra███orl███rou███",403,18,"2018-02-23",9966,"","","","UCf2PQVgtjoTWUj2c4mzB2yQ","null"
"https://www.youtube.com/@CaniSense/about","@CaniSense","https://yt3.googleusercontent.com/Rj_c-5i-t6ZCrkKACfcP29OUU9_jffIlru6WnL61Oz1wAo_4d1_zvaiPkQWHcFPtP5KYr7Al=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/TSSe4Cv4CqhNfuhWAlqpptqtWC9IT4SnCM73TxkvpU6dTQ9AMxxYkpS5X2qS47gO3GEZYXIb=s176-c-k-c0x00ffffff-no-rj","Can███nse███",191,1,"2015-12-20",9,"","","","UCH5QY-GDFZYeXWGw73igzMQ","null"
"https://www.youtube.com/@JKTECHWORLD/about","@JKTECHWORLD","https://yt3.googleusercontent.com/uM4UnkYECkeABv58TD71rDYPHXsmpT84TlEm99zr4kZhQq4rjCt8jx6xB7_AluBDORmKki8kFg=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_ktFOzuG1f8oLHCvTtKNNl-cUdcITgbwHAB0TOqPmTjEvs=s176-c-k-c0x00ffffff-no-rj","JK ███H W███D",737,199,"2011-11-11",187578,"","","","UCkszcmF4235WULG949QUxzg","null"
"https://www.youtube.com/@karnatakastatepollutioncon9980/about","@karnatakastatepollutioncon9980","https://yt3.googleusercontent.com/M_TKR0m-CsIj9rBLLrr-6G6VbT4J1IKPQywgI0iSHCX6RdcJjpAvITLMU5xFbnkjpizGcLWuJg=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ZiOSKx6tkiMC4AxmrkxqMLpf_Z5K_0dym7diDnKBJHke4nBFs2wKB765CaL0KHnNoa9pNbbZbQ=s160-c-k-c0x00ffffff-no-rj","Kar███aka███ate█████████n C█████████████████████",386,66,"2021-08-26",40728,"","","","UCHXvIwSig1xCAGIdIKYKcVg","null"
"https://www.youtube.com/@healthye-rider8651/about","@healthye-rider8651","https://yt3.googleusercontent.com/_0y5gR7gEpjEKOGh9W4KjGpG8t21m3DPubqd8FPxFrr9C83epV5gelgqAmsc4I_1QDeFHy40qDo=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_mXOg4gyoEyknY-jmZBndQ51AtlQhdj--k_t5DoK9ru0g=s160-c-k-c0x00ffffff-no-rj","Hea███y E███der███",1120,9,"2020-11-16",131194,"","","","UCzU8XtNMdaIBvF3R0tg6PMQ","null"
"https://www.youtube.com/@bluemotions3793/about","@bluemotions3793","https://yt3.googleusercontent.com/enA4CUnHl21LyC-9eAD8lnYW-4fupRo-wAkgd4cjytXI9JICnYyeK7Ul1UZPQVb6EQWjtwb45Q=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_milk-vfPU5GxNyx7GsNRjOifc_pk9L39kJn7HekBABmps=s160-c-k-c0x00ffffff-no-rj","Blu███oti███",2,1,"2019-04-24",14,"","","","UCO0ZOFdtcg9B4hwiEI21UTg","null"
