Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Clarks,"
            Clark’s black Leather upper shoes
          ","
              C$39
            ","
              US 8
            ","
          𝅺EUC. These shoes have a leather upper with laces and a rubber sole in great condition.
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Black",N/A,540,300+,1 day,61,https://poshmark.ca/listing/Clarks-black-Leather-upper-shoes-66c850624aadfc7d4eb539d1
Sam Edelman,"
            SAM Edelman BNWT ""Kia"" Pewter Metallic Block Heel New Ankle Strap Embossed
          ","
              C$81
            ",N/A,"
          Sam Edelman ""Kia"" ankle strap block heel Brand new   Retail $195
  A slender ankle strap and block heel make for the most elegant yet comfortable night out on the town. * Ankle strap with buckle closure. * Man made lining with cushioned footbed. * Man made outsole. * Heel Height: 3 1⁄2 in
        ","Seller Discount: 20% off 3+ Bundle, Price Dropped: 10%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A",N/A,3916,2200+,1 day,100+,https://poshmark.ca/listing/SAM-Edelman-BNWT-Kia-Pewter-Metallic-Block-Heel-New-Ankle-Strap-Embossed-66c475dfe48e8653fe99e38f
gentle souls by Kenneth Cole,"
            P184. Gentle Souls by Kenneth Cole Blue Suede Booties w/zipper accents |7.5
          ","
              C$86
            ","
              US 7.5
            ","
          Gentle Souls by Kenneth Cole Blue Suede Booties w/zipper accents |7.5

These beauties are in EUC. 

They are super comfortable and true to size.

Heel Height: 1""
Side zip for access 

Note colours may appear differently from screen to screen.

🚭 Smoke-free home

🐶 Pet-friendly home

I use recycled packaging materials whenever possible.

If you have any questions, please ask!

Offers are always welcome!

Bundle items from my closet and save!

New to Poshmark? Use code BRAVABEAUTIFUL to sign up and save $15 on your first purchase!
        ","Seller Discount: 30% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, Silver, N/A, N/A",N/A,808,300+,1 day,71,https://poshmark.ca/listing/P184-Gentle-Souls-by-Kenneth-Cole-Blue-Suede-Booties-wzipper-accents-75-66d46ec1198524a7286059d5
kate spade,"
            Kate Spade black and white striped sandals bow accent size 6M
          ","
              C$16
            ","
              US 6
            ","
          Good condition except for some minor damage on one of the bows - it's black so you may not even notice- see pic!
        ","Seller Discount: 15% off 3+ Bundle, Price Dropped: 11%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, White, N/A, N/A, N/A",N/A,311,75+,1 day,6,https://poshmark.ca/listing/Kate-Spade-black-and-white-striped-sandals-bow-accent-size-6M-666a563b2d829a73111c8a68
Skechers,"
            Sketchers air-cooled memory foam black and pink size 7 athletic shoes
          ","
              C$45
            ","
              US 7
            ","
          in great shape! 

women's size 7
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Pink, Black",N/A,4190,2200+,1 day,100+,https://poshmark.ca/listing/Sketchers-aircooled-memory-foam-black-and-pink-size-7-athletic-shoes-66a26587d6ab5d564aba6dcb
Jeffrey Campbell,"
            Jeffrey Campbell 3.5” platform (1”) deep blue suede sandals. Size 7.5
          ","
              C$55
            ","
              US 7.5
            ","
          Soft deep blue suede
No blemishes or scratches
Minimal wear on sole
3.5” heel
1” platform 
Slip-on
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, N/A, N/A, N/A",N/A,1079,400+,1 day,58,https://poshmark.ca/listing/Jeffrey-Campbell-35-platform-1-deep-blue-suede-sandals-Size-75-66d6f41428e1e04f28933c5a
Livie & Luca,"
            Livie & Luca boots size 11
          ","
              C$44
            ","
              US 11 (Toddler Girl)
            ","
          New boots
Inner zipper
Leather
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink",N/A,1015,500+,1 day,87,https://poshmark.ca/listing/Livie-Luca-boots-size-11-66ba79b79a76efdc6f5ed5ab
Jewel Badgley Mischka,"
            Jewel by Badgley Mischka - Metallic High Heel Sandal Size 6
          ","
              C$100
            ","
              US 6
            ","
          ewel Badgley Mischka High Heel Sandal
Size 6 - 3"" Heel
Rose Gold Satin
Ankle strap and Jewel Detail down front. (Extra Jewels attached to shoe 
Minor scuffs on heel - see photos
perfect for wedding season 💕
Prom, graduation, wedding, date night, gala, mexico

Excellent Pre-Loved Condition 💵 Taking Offers 🔝 Rated Seller 📦 Fast Shipping ⚠️ Use Measurements to be sure of fit when possible! Happy Poshing!
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, N/A, N/A, N/A",N/A,2585,1400+,1 day,100+,https://poshmark.ca/listing/Jewel-by-Badgley-Mischka-Metallic-High-Heel-Sandal-Size-6-662a1eb58e40fd87bd9806e7
Nike,"
            NIKE Cleats
          ","
              C$15
            ","
              US 5
            ","
          Size 5 women’s Nike cleats.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, White",N/A,596,200+,3 days,45,https://poshmark.ca/listing/NIKE-Cleats-66d962500841b98d624ab116
Vionic,"
            Vionic Rest Randi leather sandal slide orthotic hook and  loop beige wm 6.5
          ","
              C$47
            ","
              US 6.5
            ","
          A stylish sandal with a comfortable and supportive footbed. 


SIZE 
Women's US 6.5

** For the best fit, please see the measurements below **


BRAND / MODEL
Vionic / Rest Randi


DETAILS
- slide style

- leather upper with a snakeskin pattern (features black, white and beige, with slight iridescence)

- two straps with a hook-and-loop closure

- microfiber-covered footbed

- heel height: 0.98""

- lightweight, flexible EVA midsole that absorbs shock and reduces stress on feet, ankles and knees

- durable rubber outsole with a patterned treat provides traction on a variety of surfaces

- footbed designed to hug arches and support your feet

- built-in orthotic is shown to be effective in helping to treat heel pain (plantar fasciitis)


APPROXIMATE MEASUREMENTS
23.5 cm / 9.2 inches length


CONDITION
Very good preowned condition. Worn once. Please see photos.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Cream, Black, N/A, N/A, N/A",N/A,304,100+,1 day,32,https://poshmark.ca/listing/Vionic-Rest-Randi-leather-sandal-slide-orthotic-hook-and-loop-beige-wm-65-66d7a543842dd457c1cbc2f4
